,date,added,removed
0,1957-03-04,,
174,1957-03-04,,
379,1957-03-04,,
168,1957-03-04,,
164,1957-03-04,,
161,1957-03-04,,
146,1957-03-04,,
140,1957-03-04,,
138,1957-03-04,,
403,1957-03-04,,
375,1957-03-04,,
407,1957-03-04,,
123,1957-03-04,,
119,1957-03-04,,
418,1957-03-04,,
115,1957-03-04,,
114,1957-03-04,,
101,1957-03-04,,
90,1957-03-04,,
83,1957-03-04,,
459,1957-03-04,,
124,1957-03-04,,
72,1957-03-04,,
372,1957-03-04,,
192,1957-03-04,,
292,1957-03-04,,
309,1957-03-04,,
281,1957-03-04,,
275,1957-03-04,,
326,1957-03-04,,
257,1957-03-04,,
246,1957-03-04,,
338,1957-03-04,,
237,1957-03-04,,
187,1957-03-04,,
340,1957-03-04,,
228,1957-03-04,,
227,1957-03-04,,
348,1957-03-04,,
219,1957-03-04,,
218,1957-03-04,,
213,1957-03-04,,
204,1957-03-04,,
364,1957-03-04,,
365,1957-03-04,,
233,1957-03-04,,
69,1957-03-04,,
389,1957-03-04,,
21,1957-03-04,,
25,1957-03-04,,
497,1957-03-04,,
43,1957-03-04,,
2,1957-03-04,,
411,1964-06-30,,
173,1965-03-31,,
139,1965-03-31,,
112,1969-03-31,,
331,1969-06-30,,
306,1970-06-30,,
289,1970-12-31,,
59,1972-09-30,,
60,1972-09-30,,
268,1973-06-30,,
221,1973-12-31,,
241,1974-12-31,,
493,1975-03-31,,
270,1975-06-30,,
256,1976-03-31,,
58,1976-06-30,,
162,1976-06-30,,
487,1976-06-30,,
106,1976-06-30,,
334,1976-06-30,,
26,1976-06-30,,
319,1976-06-30,,
482,1976-06-30,,
435,1976-12-31,,
253,1976-12-31,,
442,1978-12-31,,
491,1979-10-01,,
27,1980-03-31,,
355,1980-12-31,,
198,1980-12-31,,
51,1981-03-31,,
303,1981-06-30,,
479,1981-06-30,,
481,1982-08-31,,
420,1982-09-30,,
416,1982-09-30,,
76,1982-10-31,,
38,1982-11-30,,
122,1983-08-31,,
470,1983-11-30,,
48,1983-11-30,,
294,1984-02-29,,
382,1984-04-30,,
229,1984-09-30,,
57,1984-10-31,,
343,1985-04-30,,
10,1985-04-30,,
396,1985-05-31,,
96,1985-07-31,,
444,1985-09-30,,
158,1985-10-31,,
360,1985-11-30,,
249,1986-02-28,,
308,1986-10-31,,
429,1986-12-31,,
301,1987-08-31,,
54,1987-12-31,,
236,1988-03-31,,
370,1988-04-30,,
110,1988-05-31,,
335,1988-11-30,,
167,1989-01-31,,
224,1989-04-30,,
353,1989-08-31,,
50,1989-12-01,,
24,1991-09-19,,
32,1992-01-02,,
290,1992-07-01,,
324,1993-07-29,,
133,1993-10-01,,
109,1993-12-01,,
273,1994-03-01,,
316,1994-06-01,,
419,1994-07-01,,
463,1994-07-01,,
315,1994-09-27,,
359,1994-09-30,,
71,1995-02-24,,
129,1995-02-27,,
39,1995-03-16,,
68,1995-03-31,,
142,1995-05-31,,
293,1995-05-31,,
18,1995-07-13,,
200,1996-03-29,,
35,1996-04-23,,
52,1997-01-02,,
5,1997-05-05,,
85,1997-05-27,,
99,1997-06-02,,
178,1997-06-19,,
36,1997-07-28,,
376,1997-08-04,,
244,1997-08-28,,
279,1997-09-30,,
499,1997-10-06,,
202,1997-11-28,,
452,1997-12-04,,
107,1997-12-18,,
350,1997-12-31,,
339,1998-01-30,,
209,1998-04-30,,
300,1998-05-29,,
84,1998-07-01,,
323,1998-07-01,,
393,1998-08-28,,
484,1998-08-31,,
361,1998-10-01,,
7,1998-10-02,,
141,1998-11-18,,
86,1998-12-22,,
307,1999-01-13,,
8,1999-05-28,,
329,1999-06-25,,
62,1999-06-29,,
477,1999-06-30,,
384,1999-07-22,,
369,1999-10-04,,
34,1999-10-12,,
455,1999-11-01,,
398,2000-03-12,,
9,2000-06-05,,
421,2000-06-07,,
149,2000-08-30,,
336,2000-11-02,,
175,2000-11-02,,
258,2000-12-05,,
311,2000-12-11,,
425,2000-12-12,,
108,2001-03-01,,
440,2001-03-12,,
203,2001-04-02,,
501,2001-08-07,,
94,2001-08-30,,
373,2001-10-01,,
344,2001-11-30,,
180,2001-12-03,,
485,2002-01-02,,
412,2002-06-26,,
226,2002-07-22,,
